barid,taxid,name,zip,date,gross
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2009-10-01,301557
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2009-11-01,265652
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2009-12-01,343677
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2010-01-01,287153
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2010-02-01,331606
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2010-03-01,305569
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2010-04-01,266156
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2010-05-01,348577
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2010-06-01,258221
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2010-07-01,288203
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2010-08-01,331808
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2010-09-01,275533
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2010-10-01,305271
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2010-11-01,324216
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2010-12-01,363405
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2011-01-01,320896
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2011-02-01,367212
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2011-03-01,351620
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2011-04-01,333108
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2011-05-01,354501
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2011-06-01,310663
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2011-07-01,274026
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2011-08-01,374474
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2011-09-01,318630
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2011-10-01,332084
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2011-11-01,342512
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2011-12-01,490132
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2012-01-01,375495
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2012-02-01,408335
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2012-03-01,397660
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2012-04-01,332831
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2012-05-01,452906
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2012-06-01,341151
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2012-07-01,300875
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2012-08-01,405798
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2012-09-01,352331
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2012-10-01,383991
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2012-11-01,367533
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2012-12-01,533349
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2013-01-01,398731
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2013-02-01,432303
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2013-03-01,414183
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2013-04-01,431558
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2013-05-01,447897
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2013-06-01,378206
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2013-07-01,393471
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2013-08-01,432744
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2013-09-01,350935
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2013-10-01,422287
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2013-11-01,420207
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2013-12-01,515604
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2014-01-01,385305
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2014-02-01,464035
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2014-03-01,440832
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2014-04-01,400391
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2014-05-01,528173
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2014-06-01,378275
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2014-07-01,379361
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2014-08-01,460309
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2014-09-01,424103
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2014-10-01,462842
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2014-11-01,438044
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2014-12-01,620537
685,MB202068,"SOUTH BEACH",77006,2004-01-01,138565
685,MB202068,"SOUTH BEACH",77006,2004-02-01,116226
685,MB202068,"SOUTH BEACH",77006,2004-03-01,130837
685,MB202068,"SOUTH BEACH",77006,2004-04-01,123499
685,MB202068,"SOUTH BEACH",77006,2004-05-01,132758
685,MB202068,"SOUTH BEACH",77006,2004-06-01,118812
685,MB202068,"SOUTH BEACH",77006,2004-07-01,125277
685,MB202068,"SOUTH BEACH",77006,2004-08-01,112618
685,MB202068,"SOUTH BEACH",77006,2004-09-01,111350
685,MB202068,"SOUTH BEACH",77006,2004-10-01,127082
685,MB202068,"SOUTH BEACH",77006,2004-11-01,107452
685,MB202068,"SOUTH BEACH",77006,2004-12-01,126740
685,MB202068,"SOUTH BEACH",77006,2005-01-01,120841
685,MB202068,"SOUTH BEACH",77006,2005-02-01,109562
